ticker,cik,metric,fy,form,fp,filed,value,unit,tag_used,source,carry_from_fy,accn,start,end
NVDA,0001045810,LongTermDebt,2016,10-K,FY,2016-03-17,1384000000,USD,LongTermDebt,primary,,0001045810-16-000205,,2015-01-25
NVDA,0001045810,CostOfRevenue,2016,10-K,FY,2016-03-17,1862000000,USD,CostOfRevenue,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,OperatingExpenses,2016,10-K,FY,2016-03-17,1772000000,USD,OperatingExpenses,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,IncomeTaxExpenseBenefit,2016,10-K,FY,2016-03-17,70000000,USD,IncomeTaxExpenseBenefit,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,AccountsReceivableNetCurrent,2016,10-K,FY,2016-03-17,474000000,USD,AccountsReceivableNetCurrent,primary,,0001045810-16-000205,,2015-01-25
NVDA,0001045810,Revenues,2016,10-Q,Q3,2015-11-18,3431000000,USD,Revenues,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,NetIncomeLoss,2016,10-Q,Q3,2015-11-18,437000000,USD,NetIncomeLoss,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,EarningsPerShareBasic,2016,10-Q,Q3,2015-11-18,0.79,USD/shares,EarningsPerShareBasic,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,EarningsPerShareDiluted,2016,10-Q,Q3,2015-11-18,0.77,USD/shares,EarningsPerShareDiluted,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,OperatingIncomeLoss,2016,10-Q,Q3,2015-11-18,528000000,USD,OperatingIncomeLoss,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,GrossProfit,2016,10-Q,Q3,2015-11-18,1900000000,USD,GrossProfit,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,ResearchAndDevelopmentExpense,2016,10-Q,Q3,2015-11-18,1011000000,USD,ResearchAndDevelopmentExpense,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,SellingGeneralAndAdministrativeExpense,2016,10-Q,Q3,2015-11-18,361000000,USD,SellingGeneralAndAdministrativeExpense,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,Assets,2016,10-Q,Q3,2015-11-18,7201000000,USD,Assets,primary,,0001045810-15-000173,,2015-01-25
NVDA,0001045810,Liabilities,2016,10-Q,Q3,2016-11-22,2814000000,USD,Liabilities,carried,2017,0001045810-16-000353,,2016-01-31
NVDA,0001045810,StockholdersEquity,2016,10-Q,Q3,2015-11-18,4418000000,USD,StockholdersEquity,primary,,0001045810-15-000173,,2015-01-25
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,2016,10-Q,Q3,2015-11-18,1152000000,USD,CashAndCashEquivalentsAtCarryingValue,primary,,0001045810-15-000173,,2014-01-26
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,2016,10-Q,Q3,2015-11-18,463000000,USD,NetCashProvidedByUsedInOperatingActivities,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,PaymentsToAcquirePropertyPlantAndEquipment,2016,10-Q,Q3,2015-11-18,91000000,USD,PaymentsToAcquirePropertyPlantAndEquipment,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,LongTermDebt,2016,10-Q,Q3,2015-11-18,1384000000,USD,LongTermDebt,primary,,0001045810-15-000173,,2015-01-25
NVDA,0001045810,CostOfRevenue,2016,10-Q,Q3,2015-11-18,1531000000,USD,CostOfRevenue,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,OperatingExpenses,2016,10-Q,Q3,2015-11-18,1372000000,USD,OperatingExpenses,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,IncomeTaxExpenseBenefit,2016,10-Q,Q3,2015-11-18,90000000,USD,IncomeTaxExpenseBenefit,primary,,0001045810-15-000173,2014-01-27,2014-10-26
NVDA,0001045810,AccountsReceivableNetCurrent,2016,10-Q,Q3,2015-11-18,474000000,USD,AccountsReceivableNetCurrent,primary,,0001045810-15-000173,,2015-01-25
NVDA,0001045810,Revenues,2017,10-K,FY,2017-03-01,4682000000,USD,Revenues,primary,,0001045810-17-000027,2014-01-27,2015-01-25
