ticker,cik,fy,form,metric,tag_used,value,unit,filed,fp,start,end,source
NVDA,0001045810,2022,10-Q,CostOfRevenue,CostOfRevenue,4432000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,EarningsPerShareBasic,EarningsPerShareBasic,1.17,USD/shares,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,EarningsPerShareDiluted,EarningsPerShareDiluted,1.15,USD/shares,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,GrossProfit,GrossProfit,7240000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,64000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,Liabilities,Liabilities,11898000000.0,USD,2021-11-22,Q3,,2021-01-31,primary
NVDA,0001045810,2022,10-Q,LongTermDebt,LongTermDebt,6963000000.0,USD,2021-11-22,Q3,,2021-01-31,primary
NVDA,0001045810,2022,10-Q,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,3755000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,NetIncomeLoss,NetIncomeLoss,2875000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,OperatingExpenses,OperatingExpenses,4215000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,OperatingIncomeLoss,OperatingIncomeLoss,3025000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,2778000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,Revenues,Revenues,11672000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,SellingGeneralAndAdministrativeExpense,SellingGeneralAndAdministrativeExpense,1437000000.0,USD,2021-11-22,Q3,2020-01-27,2020-10-25,primary
NVDA,0001045810,2022,10-Q,StockholdersEquity,StockholdersEquity,12204000000.0,USD,2021-11-22,Q3,,2020-01-26,primary
NVDA,0001045810,2023,10-K,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,4650000000.0,USD,2023-02-24,FY,,2022-01-30,primary
NVDA,0001045810,2023,10-K,Assets,Assets,44187000000.0,USD,2023-02-24,FY,,2022-01-30,primary
NVDA,0001045810,2023,10-K,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,1990000000.0,USD,2023-02-24,FY,,2022-01-30,primary
NVDA,0001045810,2023,10-K,CostOfRevenue,CostOfRevenue,6279000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,EarningsPerShareBasic,EarningsPerShareBasic,1.76,USD/shares,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,EarningsPerShareDiluted,EarningsPerShareDiluted,1.73,USD/shares,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,GrossProfit,GrossProfit,10396000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,77000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,Liabilities,Liabilities,17575000000.0,USD,2023-02-24,FY,,2022-01-30,primary
NVDA,0001045810,2023,10-K,LongTermDebt,LongTermDebt,10946000000.0,USD,2023-02-24,FY,,2022-01-30,primary
